Опыт	Проба	Текст
1		
2		
3	1	НОМЭЖУЗГЗУЖЭЭЖУЗЗЗГ+ЯЭЖУЗЗУТ
3	2	ОМЯГ+ЯЯЗУЖЭМИЛЕР
4	1	ЫОМЯГ+ЗУЖЭЭУЗЯМИЛЕЕСДСЕБЛИМЭЖЖМИЛЕР
4	2	НОМЯЗУЖВВЭМИЛЕСДДСЕБЛИМВЭМИЛБЕР
4	3	НОМЭВЖЖЭМИЛЕЕБЕР
4	4	ПОИКА+ДСЕБЕР
4	5	ОИЛЕР
4	6	ТУЗГ+ЯМИИИЛЕР
4	7	ОИЛЕР
4	8	ОМЯЗЗЯЭЭМИЛЕР
4	8	ОМЯЗЗЯЭЭМИЛЕР
4	9	ПОИЛЕСДА+КЛЕЕЛИМЭЖУЗЯЭЖТ
5	1	ПОИЛЕСДКИМЭЖЖВЭМИЛЕР
5	2	ПОИКДСЕЛИМЯЗЗЯЭЖЖЭМИКДСР
5	3	ПНОМЭЖУЗЯЯЗЗЯМИКДДКЛЕЕБЛИМЭЖУЗЯМИКА+ААКЛЕСДАКИМЭВЖТ
5	4	НОМЯЗУЖЖУЗЯМИКА+ААДСЕЕСДААКИМЯГ+ГЗЗЯМИЛЕР
5	5	НОИЛЕСДА+КИМЭЖУЗГ+ЗЗГЯМИКАААКИМЭЖТ
5	6	ОИКА+АКИМЯГ+ЗЗГЯМИКАДСР
6	1	НОЯГ+ЯМИКА+КИМЭЖТ
6	2	НОЯГ+ЯМИКА+КИМЯГГЗУЖЭЯЗЗЯМИКАДСЕЛИМЭЖТ
6	3	НОИЛЛИМЯЗЗГ+ЯМИЛЕР
6	4	НОИКА+КИМЯГ+ЗУЖЭЭЖТ
6	5	ПОИКА+КИМЯГ+ЗУЖЭЯЯМИКАДДКЛЛККИМЯЗУТ
6	6	ПОИКА+КИМЯГ+ЯЭВЭЯЯМИКАДСР
6	7	ОИКА+ДСР
7	1	НОИКА+КИМЭЖТ
7	2	НОЯГ+ЗУТ
7	3	НОИКА+КИМЯГ+ЗУТ
7	4	НОМЯГ+ЗЗЯЭВЖТ
7	5	НОИКА+КИМЯГ+ЯМИКАКЛБЛИМЯГЗУТ
7	6	НОМЯГЗУТ
7	7	НОИКА+КЛЛИМЯГ+ЗУТ
7	8	НОИКА+КИМЯГ+ЗУТ
7	9	НОИКА+КИМЯГ+ЗУТ
7	10	НОИКА+КИМЯГ+ЗУТ
7	11	НОИКА+КИМЯГ+ЗУТ
7	12	НОИКА+КИМЯГ+ЗУТ
7	13	НОИКА+КИМЯГ+ЗУТ
7	14	НОИКА+КИМЯГ+ЗУТ
7	15	НОМЭЖУЗГ+ЯМИКА+КЛЕЕЛИМЯГЗЗГЯМИКАДДКИМЯГЗУТ
7	16	ОИКА+КИМЯГ+ЗУЖЭМИКАДСР
7	17	ПОИКА+ДСР
7	18	ПОМЯГ+ЗУТ
7	19	НОИКА+КИМЯГ+ЯЭЖТ
7	20	ПОММИКА+КИМЯГ+ЯЭЖТ
7	21	ПОИКА+КИМЯЯЭЖТ
7	22	ПОИКА+КИМЯГ+ЯМИККИМЭЖТ
8	1	ОИКА+КИМЯГ+ЯМИКАКИМЯГЯЭВЖЖЭЯЗЗГЗЗЯМИКАКИМЯЯМИКАКИМЯГЯЭЖТ
8	2	ОИЛЛКАКИМЯГ+ЗУЖЭМИККИМЭЖТ
8	3	ПОИКА+КИМЯЯМИКАКИМЯГЯМИККИМЭЖТ
8	4	НОИКА+КИМЯГ+ЯЭЖТ
8	5	НОИКА+КИООИКДСР
